[33mThe CJS build of Vite's Node API is deprecated. See https://vite.dev/guide/troubleshooting.html#vite-cjs-node-api-deprecated for more details.[39m
Re-optimizing dependencies because lockfile has changed

  VITE v5.4.19  ready in 164 ms

  ➜  Local:   http://localhost:8000/
  ➜  Network: use --host to expose
5:22:38 PM [vite] page reload js/ui/canvas-navigator.js
5:22:38 PM [vite] page reload js/ui/canvas-navigator.js
5:43:07 PM [vite] page reload js/utils/config.js
5:43:08 PM [vite] page reload js/utils/config.js
6:30:16 PM [vite] page reload js/utils/config.js
6:30:16 PM [vite] page reload js/utils/config.js
7:50:58 PM [vite] page reload js/commands/NodeCommands.js
7:50:58 PM [vite] page reload js/core/ImageUploadCoordinator.js
7:51:03 PM [vite] page reload js/core/ImageUploadCoordinator.js
7:51:09 PM [vite] page reload js/core/ImageUploadCoordinator.js
7:51:14 PM [vite] page reload js/core/ImageUploadCoordinator.js
7:51:18 PM [vite] page reload js/core/ImageUploadCoordinator.js
7:51:27 PM [vite] page reload js/commands/NodeCommands.js
7:51:32 PM [vite] page reload js/dragdrop.js
7:51:32 PM [vite] page reload js/dragdrop.js
7:52:00 PM [vite] page reload js/utils/cache.js
7:52:07 PM [vite] page reload js/utils/cache.js
7:55:36 PM [vite] page reload js/nodes/video-node.js
7:56:35 PM [vite] page reload js/core/VideoProcessingListener.js
7:56:54 PM [vite] page reload js/renderers/WebGLRenderer.js
7:57:04 PM [vite] page reload js/renderers/WebGLRenderer.js
7:57:23 PM [vite] page reload js/renderers/WebGLRenderer.js
7:58:44 PM [vite] page reload .scratch/test-video-fixes.html
7:58:47 PM [vite] page reload .scratch/test-video-fixes.html
8:21:36 PM [vite] page reload js/renderers/TextureLODManager.js
8:21:55 PM [vite] page reload js/renderers/TextureLODManager.js
8:22:00 PM [vite] page reload js/renderers/TextureLODManager.js
8:22:12 PM [vite] page reload js/renderers/TextureLODManager.js
8:22:18 PM [vite] page reload js/renderers/TextureLODManager.js
8:22:25 PM [vite] page reload js/renderers/TextureLODManager.js
8:22:28 PM [vite] page reload js/renderers/TextureLODManager.js
8:22:30 PM [vite] page reload js/renderers/TextureLODManager.js
8:22:37 PM [vite] page reload js/renderers/TextureLODManager.js
8:22:44 PM [vite] page reload js/renderers/TextureLODManager.js
8:22:51 PM [vite] page reload js/renderers/TextureLODManager.js
8:23:03 PM [vite] page reload js/renderers/WebGLRenderer.js
8:23:09 PM [vite] page reload js/renderers/WebGLRenderer.js
8:23:15 PM [vite] page reload js/renderers/WebGLRenderer.js
8:23:22 PM [vite] page reload js/renderers/TextureLODManager.js
8:23:29 PM [vite] page reload js/renderers/WebGLRenderer.js
8:23:50 PM [vite] page reload js/renderers/WebGLRenderer.js
8:23:56 PM [vite] page reload js/renderers/WebGLRenderer.js
8:23:59 PM [vite] page reload js/renderers/WebGLRenderer.js
8:24:14 PM [vite] page reload js/renderers/TextureLODManager.js
8:27:49 PM [vite] page reload js/renderers/TextureLODManager.js
8:27:58 PM [vite] page reload js/renderers/TextureLODManager.js
8:28:15 PM [vite] page reload js/renderers/TextureLODManager.js
8:28:29 PM [vite] page reload js/renderers/TextureLODManager.js
8:29:35 PM [vite] page reload js/nodes/video-node.js
8:29:40 PM [vite] page reload js/nodes/video-node.js
8:35:05 PM [vite] page reload js/core/PerformanceMonitor.js
8:35:11 PM [vite] page reload js/core/PerformanceMonitor.js
8:35:13 PM [vite] page reload js/core/PerformanceMonitor.js
8:35:43 PM [vite] page reload js/core/PerformanceMonitor.js
8:36:11 PM [vite] page reload js/core/PerformanceMonitor.js
8:36:20 PM [vite] page reload js/core/PerformanceMonitor.js
8:36:27 PM [vite] page reload js/core/PerformanceMonitor.js
8:36:47 PM [vite] page reload .scratch/test_performance_hud.html
8:36:47 PM [vite] page reload .scratch/test_performance_hud.html
